filename,label,mean_saturation,black_spot_ratio
f33a08e5-03bb-4b97-991c-a1332866043d___FREC_Scab 2923.JPG,apple scab,0.22061709,4.57763671875e-05
f1017472-d391-4a66-b9b2-d52916cd0c0b___FREC_Scab 3176.JPG,apple scab,0.22124727,0.01483154296875
c7dc7cfa-559a-4950-ba71-90d11dfe0b56___FREC_Scab 3381.JPG,apple scab,0.2971191,0.0312652587890625
1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG,apple scab,0.31250465,0.0284881591796875
bc93b0fd-568f-4969-9d2d-c94d5f340e7e___FREC_Scab 3357.JPG,apple scab,0.30503488,0.0009613037109375
4555c009-6c33-4913-accc-fd1a8355646b___FREC_Scab 2929.JPG,apple scab,0.3204487,0.076202392578125
43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG,apple scab,0.23150271,0.0044708251953125
f777466d-15ee-4269-b90c-0d64bd099c0f___FREC_Scab 3409.JPG,apple scab,0.30773294,0.0513458251953125
f8e48799-c566-4b86-b7c8-a0e290fb7f25___FREC_Scab 3167.JPG,apple scab,0.2751522,0.15643310546875
10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,apple scab,0.3283158,0.0177001953125
a6ba4b1c-285a-432d-ae70-df3e37e5e6c1___FREC_Scab 3002.JPG,apple scab,0.3735673,0.0107574462890625
70fa2c8f-5657-444f-b57b-3ad6755acc74___FREC_Scab 3275.JPG,apple scab,0.26464146,0.046875
252087d7-57c9-4ebe-b6c4-840d6c5dfcb1___FREC_Scab 3329.JPG,apple scab,0.31528652,0.0284423828125
d736e5ee-f15e-453e-a14a-390d226e24a7___FREC_Scab 3322.JPG,apple scab,0.27353626,0.017364501953125
e2746374-a734-4d96-9dc8-503fbd35effa___FREC_Scab 2979.JPG,apple scab,0.25862503,0.0367889404296875
495816a8-4d85-47a5-9aca-a09f3f30a068___FREC_Scab 3443.JPG,apple scab,0.26112455,0.0082244873046875
7ead14ac-9bdd-42a9-bde9-b70d8b6694b7___FREC_Scab 3356.JPG,apple scab,0.2486173,0.0007781982421875
7dbdcba3-395b-413e-bc22-cd0d0e11a1c9___FREC_Scab 3363.JPG,apple scab,0.21804959,0.0601348876953125
ef91867f-33c5-4063-9783-44fd47238fe0___FREC_Scab 2935.JPG,apple scab,0.30223277,0.0945587158203125
7bf25c0a-6594-4777-9a67-49a6487bb203___FREC_Scab 2993.JPG,apple scab,0.3841991,0.1082305908203125
6823f5d3-b27b-4a34-a417-5fc5bd99f9d7___FREC_Scab 2975.JPG,apple scab,0.36807287,0.0707855224609375
45000608-507a-46f5-be52-3ee24d0fb47d___FREC_Scab 3113.JPG,apple scab,0.3483407,0.0001373291015625
c4e2b47d-d3c9-418e-9e60-78cead67c5d7___FREC_Scab 2928.JPG,apple scab,0.36914468,0.003875732421875
e0291fa3-bb60-4c05-85da-28a10a1562e9___FREC_Scab 3214.JPG,apple scab,0.27415985,0.09246826171875
c4a3c215-aa1e-4d1c-b545-1ab2b15812fe___FREC_Scab 2938.JPG,apple scab,0.37327445,0.031463623046875
f2d6beb9-e8b1-49f6-b7b7-903b51565435___FREC_Scab 3393.JPG,apple scab,0.21495456,0.126556396484375
6639559d-7af6-40b0-9677-a8dcfe036435___FREC_Scab 3342.JPG,apple scab,0.33254257,0.063812255859375
a031daf8-94a3-476b-b2e4-dc39a4ee843d___FREC_Scab 3233.JPG,apple scab,0.3797294,0.0311279296875
99f409b1-0e19-43e6-bbc5-95c5368f86be___FREC_Scab 3051.JPG,apple scab,0.27630946,0.0211334228515625
e7115dcb-8124-42c9-bf6b-40740173d2ba___FREC_Scab 3353.JPG,apple scab,0.33368,0.0667877197265625
ac8466c6-8a4f-4757-bb4d-d63f4b6a6928___FREC_Scab 3436.JPG,apple scab,0.30036932,0.056396484375
fa9c1112-27fc-42db-930d-7e4956267ab5___FREC_Scab 3174.JPG,apple scab,0.20041724,0.034454345703125
663ad178-6346-4b89-8074-6655f1be1578___FREC_Scab 3500.JPG,apple scab,0.3094208,0.05279541015625
6dd6a502-d5b3-4f3d-9231-e7dbd7b54908___FREC_Scab 2937.JPG,apple scab,0.29426694,0.0518035888671875
716a13b6-1747-40d8-96d7-5ec1c183b3b5___FREC_Scab 3004.JPG,apple scab,0.344357,0.0308074951171875
a31b7944-c213-4b83-a586-004d0522e355___FREC_Scab 3341.JPG,apple scab,0.31667885,0.0859527587890625
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,apple scab,0.30455795,0.0176544189453125
bf9a1cb3-baa2-42f6-881b-c77864b3019c___FREC_Scab 3189.JPG,apple scab,0.24627432,0.000335693359375
84ef6106-d401-44fb-a5c9-be5ef93cb4e7___FREC_Scab 2921.JPG,apple scab,0.22045594,0.0
8632c6b9-84e1-4779-9294-71548ff838e5___FREC_Scab 3423.JPG,apple scab,0.23566596,0.0092315673828125
9e399a72-a81f-4a43-8542-ebc4e96ba346___FREC_Scab 2930.JPG,apple scab,0.32565197,0.069549560546875
6105e3bd-339c-47bd-9764-4ba9b7059a6b___FREC_Scab 3096.JPG,apple scab,0.40903744,0.181365966796875
9100bed7-65dd-4425-840b-503f9db78ef8___FREC_Scab 3076.JPG,apple scab,0.23665567,0.0567779541015625
5cd3df15-31a2-4076-9d1a-8735fa1dccdf___FREC_Scab 3410.JPG,apple scab,0.21639207,0.0001220703125
e9155e73-7f58-441b-a36b-d513bd051742___FREC_Scab 3509.JPG,apple scab,0.31661204,6.103515625e-05
c665dad4-adfc-40a3-b1cc-a29aed48d93c___FREC_Scab 3246.JPG,apple scab,0.26948425,0.1744384765625
5dbcba87-93fa-4c21-8abd-bc20c93b359f___FREC_Scab 3258.JPG,apple scab,0.3631846,0.1895751953125
aba69098-9c79-46cc-ba1f-6f88a456b56f___FREC_Scab 3039.JPG,apple scab,0.35577345,0.1966400146484375
41c2bb79-44fb-48f4-864f-eec35e3442f5___FREC_Scab 2931.JPG,apple scab,0.28172877,0.0890350341796875
48dcb319-8b65-4bac-bba4-aa8ffa8abdd0___FREC_Scab 3519.JPG,apple scab,0.20282342,0.0667724609375
a15c8e33-6b90-489e-800d-99b3056235c2___FREC_Scab 3466.JPG,apple scab,0.2496619,0.002777099609375
60f3ba82-caf1-4cf7-998c-b0005458fa38___FREC_Scab 3226.JPG,apple scab,0.23498009,0.0003509521484375
6d9f5940-0ec4-4ccf-8003-719410b7f47c___FREC_Scab 3373.JPG,apple scab,0.26101777,0.0005035400390625
be0ae8eb-76ea-4aba-bc29-175812af0f8d___FREC_Scab 3421.JPG,apple scab,0.31648162,0.0382537841796875
97cd53cf-e95a-4d40-b77c-15ccf9bbb8f3___FREC_Scab 3134.JPG,apple scab,0.36008853,0.0224151611328125
98d39524-dfe5-42c0-999d-110aa1c49b85___FREC_Scab 3259.JPG,apple scab,0.3208794,0.0841827392578125
2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG,apple scab,0.3657813,0.277191162109375
c3cb1c6c-30f6-4fda-9887-eaeb7e071ca9___FREC_Scab 2913.JPG,apple scab,0.21601132,0.0093841552734375
1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG,apple scab,0.3225407,0.114044189453125
4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG,apple scab,0.31909218,0.0592193603515625
f79134e9-f8b2-4855-96bd-6b3ce814b32a___FREC_Scab 3116.JPG,apple scab,0.24253704,0.0010986328125
add9ce00-e304-4632-82f2-ddc86a6be5f6___FREC_Scab 3472.JPG,apple scab,0.31648147,0.0264129638671875
656265b3-9f9a-4a20-83f5-e5d6be938dcd___FREC_Scab 3454.JPG,apple scab,0.2965919,0.0167236328125
fd3ae59f-e06e-403b-b317-83ee68aa9ea7___FREC_Scab 3492.JPG,apple scab,0.22243187,0.0359344482421875
4b4b59d5-3c6d-4ce5-b349-616fecb850ff___FREC_Scab 3447.JPG,apple scab,0.37126023,0.022857666015625
9431682d-6de3-4b1f-bdde-11b706fe2e85___FREC_Scab 3029.JPG,apple scab,0.34306562,0.107574462890625
e5d9029b-ba16-44c2-be95-66199f1a8a96___FREC_Scab 3317.JPG,apple scab,0.23183495,0.1661224365234375
8c916434-af92-4360-9833-0422aa510f7e___FREC_Scab 3245.JPG,apple scab,0.30609936,0.0623779296875
a0fd13e3-e36c-4386-beb2-ec6a587bfd70___FREC_Scab 3053.JPG,apple scab,0.4724197,0.1525726318359375
eca2a279-0f7f-40a7-b2c4-a9bc500f4f5b___FREC_Scab 3015.JPG,apple scab,0.2828337,0.0886383056640625
222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239.JPG,apple scab,0.3361996,0.11572265625
b8829a11-a69e-479f-977e-3890cd1d76b1___FREC_Scab 3144.JPG,apple scab,0.3973793,0.0227508544921875
bc2ce052-84b8-4de9-bd9d-7528869b62dc___FREC_Scab 3309.JPG,apple scab,0.3646366,0.13031005859375
895252c3-5047-4e87-8e13-2cdd765f3e0a___FREC_Scab 3056.JPG,apple scab,0.52920246,0.05804443359375
9efcd800-e927-4595-8eb8-26d36524242a___FREC_Scab 3026.JPG,apple scab,0.23227865,0.022674560546875
7efdde34-c75b-40bc-92ef-48de08ec0709___FREC_Scab 3027.JPG,apple scab,0.26164103,0.0419464111328125
9d586b46-914c-4715-a406-484a597e3bab___FREC_Scab 2998.JPG,apple scab,0.2741774,0.10186767578125
62f548e4-13e0-4e62-bcbc-2bc2c68251f3___FREC_Scab 3273.JPG,apple scab,0.3288032,0.1486663818359375
7966ec90-1939-40ea-a4f7-99aca4fe8af5___FREC_Scab 3402.JPG,apple scab,0.20282458,0.00177001953125
eda0a3b5-fe6e-4646-acc6-7db5179e3e96___FREC_Scab 3380.JPG,apple scab,0.2700451,0.0892333984375
792c3972-8724-45b6-8ba0-eec0f675bc50___FREC_Scab 3120.JPG,apple scab,0.32669184,0.0
919f1400-c9b6-4343-9708-0e70deabb85d___FREC_Scab 2941.JPG,apple scab,0.29876193,0.0147857666015625
38e76f0a-63cb-460a-b0fa-f20e561dc2c0___FREC_Scab 3481.JPG,apple scab,0.27276653,0.002288818359375
6b6b2140-bb67-4342-adad-8cba97a5ecbe___FREC_Scab 3388.JPG,apple scab,0.22772634,0.01873779296875
74813834-38bc-4301-93ff-39b208eb52bc___FREC_Scab 3315.JPG,apple scab,0.3171571,0.0312652587890625
f7c4bd45-5098-4b2c-bbfb-2e47c8f2d711___FREC_Scab 3361.JPG,apple scab,0.25283322,0.00030517578125
ea693d65-bcc9-4e76-9d64-cba561b520cc___FREC_Scab 3345.JPG,apple scab,0.33520392,0.0134124755859375
45e34a1f-1d46-42e8-921d-c82f2c9e7cd1___FREC_Scab 3228.JPG,apple scab,0.27940404,0.0085601806640625
8406c2d8-abac-4992-bf23-6728a84d5437___FREC_Scab 3371.JPG,apple scab,0.27043548,0.0073394775390625
fcb1ce1e-f60c-4a65-bfa4-157009760dad___FREC_Scab 3052.JPG,apple scab,0.32608828,0.0990142822265625
7f4d7ebc-7d2b-454f-8f61-b5dc469a16b7___FREC_Scab 3010.JPG,apple scab,0.28581774,0.074066162109375
5990ed9f-ffe8-4622-bd26-e536ea5e1109___FREC_Scab 3042.JPG,apple scab,0.42256483,0.128753662109375
f957b91b-878a-4f53-b8b5-a8bf7fa2c773___FREC_Scab 2970.JPG,apple scab,0.3166061,0.06573486328125
1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,apple scab,0.2650994,0.001739501953125
7b7c32e3-68f8-4280-acda-4c6e67f4725f___FREC_Scab 3340.JPG,apple scab,0.28175002,0.004364013671875
23466313-6a2c-46e7-ad89-1f95dd2d3b40___FREC_Scab 3517.JPG,apple scab,0.2900686,0.023162841796875
a038a218-4c69-4f5a-9887-80fac9888782___FREC_Scab 3008.JPG,apple scab,0.32263324,0.010711669921875
4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG,apple scab,0.36655194,0.07208251953125
258ce9eb-2b67-475b-b09c-0bc83b0987f1___FREC_Scab 3033.JPG,apple scab,0.39925274,0.0719451904296875
1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,apple scab,0.29614222,0.0198211669921875
321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG,apple scab,0.28789586,0.106109619140625
6b5e1187-9b7b-4b4c-912f-b2175619f35f___FREC_Scab 3121.JPG,apple scab,0.3610557,0.0017547607421875
2438c1f0-556e-4575-b382-96e17f908e34___FREC_Scab 3230.JPG,apple scab,0.27018964,9.1552734375e-05
23576562-df0c-46bb-8c50-1bf03412097f___FREC_Scab 3086.JPG,apple scab,0.36873275,0.0545196533203125
f9e4b1bc-36b0-40df-bb48-4e6ed48ec8b5___FREC_Scab 3514.JPG,apple scab,0.33506414,0.047027587890625
fdc58f83-8a94-4f0c-aefe-c6f2b5028682___FREC_Scab 3014.JPG,apple scab,0.30283654,0.127105712890625
b18d07ee-d2e2-4cc2-876c-e03e3839f3b6___FREC_Scab 3427.JPG,apple scab,0.27100167,0.00946044921875
fc9c12dc-1bdb-402d-ada8-dc1b33c84d5b___FREC_Scab 2932.JPG,apple scab,0.29350904,0.0249481201171875
72d9363f-1e23-4154-92bd-5f34a149d444___FREC_Scab 2980.JPG,apple scab,0.35236916,0.0523223876953125
c9535536-7e19-474d-9ea2-734d4576e6b7___FREC_Scab 2977.JPG,apple scab,0.3019197,0.251617431640625
b963d384-123e-48e5-ac66-a1e87f33ba0b___FREC_Scab 3021.JPG,apple scab,0.25014344,0.1179656982421875
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,apple scab,0.3287445,0.0001373291015625
058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,apple scab,0.24952316,0.008697509765625
52d5723a-b498-4759-89a1-a7d815689716___FREC_Scab 3034.JPG,apple scab,0.41656604,0.118804931640625
84ca9b3d-80c2-476a-a3ae-c085ea721548___FREC_Scab 3132.JPG,apple scab,0.32342082,0.0456390380859375
c3d356bb-504c-48f7-b7aa-4feb5c009d6d___FREC_Scab 3383.JPG,apple scab,0.26696098,0.0513153076171875
730f20de-a19f-4320-89bf-027dceeff9b5___FREC_Scab 3185.JPG,apple scab,0.26660037,0.001556396484375
679c439b-740f-45cb-a9ba-d2984694fb25___FREC_Scab 2950.JPG,apple scab,0.29420105,0.165496826171875
08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,apple scab,0.2773724,0.00213623046875
e3509da1-332c-4e43-977a-c57978ff6a38___FREC_Scab 3219.JPG,apple scab,0.2423453,0.0003814697265625
a2d4e28d-efb1-4b5c-8f39-de90392f007a___FREC_Scab 3139.JPG,apple scab,0.30883756,0.1529541015625
376aaef3-8649-43aa-89f8-166bd349a3d3___FREC_Scab 3064.JPG,apple scab,0.24293432,0.024169921875
91decba3-10b0-4d3e-974c-bcc7729e867d___FREC_Scab 3527.JPG,apple scab,0.19130991,0.07427978515625
f141c7f9-66b7-4052-b5c7-db3df1a894f2___FREC_Scab 3261.JPG,apple scab,0.27168038,0.0253143310546875
745cfcfa-5b39-46ad-8c40-96086e71f6ee___FREC_Scab 3448.JPG,apple scab,0.32266545,0.001220703125
41c30a63-9e26-4ced-8110-038a2e36b095___FREC_Scab 3298.JPG,apple scab,0.29478207,0.0268096923828125
4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018.JPG,apple scab,0.285391,0.2223968505859375
11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,apple scab,0.23854974,0.02947998046875
276ed34e-9987-4b38-b83b-8626504fc204___FREC_Scab 3050.JPG,apple scab,0.30348212,0.152008056640625
0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,apple scab,0.28398162,0.056671142578125
dbf6dab4-0765-454c-8cb9-6b4329bca971___FREC_Scab 3225.JPG,apple scab,0.29775587,0.004913330078125
9c04ca1c-e5f5-4a03-8205-544c1475a18c___FREC_Scab 3502.JPG,apple scab,0.22908615,0.000762939453125
7c83792f-d375-42fb-a5a0-1bc2cb3a8eff___FREC_Scab 2914.JPG,apple scab,0.19648622,0.002471923828125
748e82aa-02b1-4ca7-9fd3-e0184f20644f___FREC_Scab 3354.JPG,apple scab,0.30614966,0.00115966796875
268a2ad1-d649-4ec0-add3-61cc8f54f479___FREC_Scab 3235.JPG,apple scab,0.39496726,0.0196075439453125
deda82bc-976d-4dd8-8599-283d622249bb___FREC_Scab 3085.JPG,apple scab,0.41332132,0.0975494384765625
b4b9c80a-f741-416d-a7e6-6d9566ea731e___FREC_Scab 3399.JPG,apple scab,0.26571915,0.0244903564453125
00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,apple scab,0.2942938,0.0006256103515625
03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,apple scab,0.27182183,0.0006561279296875
d1a9a2ab-6d10-4c1a-87e1-349117b2700f___FREC_Scab 3389.JPG,apple scab,0.31319344,0.0109710693359375
f6144504-015b-426e-a967-0712cf7621e4___FREC_Scab 3420.JPG,apple scab,0.25297529,0.0339813232421875
b1efda88-84a3-4d96-b3bf-48d7e12155e9___FREC_Scab 3009.JPG,apple scab,0.2937878,0.021240234375
b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,apple scab,0.30154204,0.0919189453125
88079400-60e9-4317-b917-0bee6c8c16f5___FREC_Scab 3411.JPG,apple scab,0.22806267,0.0081787109375
ade2b601-d2ea-4f5b-afc2-2c88aefea6b6___FREC_Scab 3464.JPG,apple scab,0.3061624,0.0351715087890625
1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,apple scab,0.38056707,0.0675201416015625
0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,apple scab,0.3212645,0.0718994140625
61643f40-eb9a-4c6b-8de5-c12319fc7680___FREC_Scab 3114.JPG,apple scab,0.26994428,0.0041656494140625
b10dceaa-a764-46b4-bd61-bc9fb13579ca___FREC_Scab 3141.JPG,apple scab,0.28347233,0.0008087158203125
bef6e86f-946a-4c2e-be1d-6b2913be449d___FREC_Scab 3187.JPG,apple scab,0.25584018,0.001373291015625
a2d623ff-8e4d-40e3-a6c5-3d61e7355f92___FREC_Scab 2949.JPG,apple scab,0.3145988,0.10589599609375
bc7769cc-805e-42ef-bbcf-0c134ff03276___FREC_Scab 2909.JPG,apple scab,0.22899663,0.0
f27fd3ff-a3b7-486a-883c-f91488883555___FREC_Scab 3158.JPG,apple scab,0.27745134,0.0028076171875
7be1e0a3-01d0-40c3-9628-f69952550267___FREC_Scab 3263.JPG,apple scab,0.37526762,0.078460693359375
47ebb7a4-a8e0-4a57-95e5-dd8e9d1235a2___FREC_Scab 3147.JPG,apple scab,0.32657123,0.0027008056640625
246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091.JPG,apple scab,0.32459456,0.1373291015625
a72a9033-d2b9-4c64-93bc-7e5a1a0ea4ae___FREC_Scab 3284.JPG,apple scab,0.2212929,0.02581787109375
d7ac8a6f-7c88-47ac-9387-eefb672e9776___FREC_Scab 3392.JPG,apple scab,0.21677154,0.09765625
1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG,apple scab,0.34517068,0.106231689453125
d608ac35-eaf8-43e2-b429-f9b433126023___FREC_Scab 3386.JPG,apple scab,0.29433122,0.179779052734375
2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG,apple scab,0.35124522,0.0717620849609375
b0744c40-7396-4efb-9d0e-d7b1f22a9dd4___FREC_Scab 3407.JPG,apple scab,0.3358231,0.1002044677734375
ac3ae45a-aaff-44c0-979d-6a2a8ba50ccf___FREC_Scab 3520.JPG,apple scab,0.27571666,0.0199737548828125
106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,apple scab,0.31063282,0.020355224609375
13b10b04-7da6-4d34-8b43-258239a25ffd___FREC_Scab 2990.JPG,apple scab,0.3210196,0.0030670166015625
13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,apple scab,0.37746024,0.0092010498046875
06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,apple scab,0.36555368,0.0041961669921875
73204011-6f70-4300-a908-adf4334104fd___FREC_Scab 3319.JPG,apple scab,0.32708904,0.0034942626953125
c6e7fae4-cacb-4058-a933-d38ea04ee42e___FREC_Scab 3348.JPG,apple scab,0.3157673,0.1627349853515625
48420763-bd18-49b4-9ab4-69319b5733f2___FREC_Scab 3201.JPG,apple scab,0.35566702,0.0176239013671875
55cd6283-a5b1-47e9-b061-c7692c8ba781___FREC_Scab 3460.JPG,apple scab,0.2401803,0.0006103515625
bceb695a-e877-4b2b-bf05-241661d511d4___FREC_Scab 3240.JPG,apple scab,0.28014323,0.1611175537109375
44b52928-c5dd-48f4-b2c8-b128032c49dd___FREC_Scab 3518.JPG,apple scab,0.27309573,0.072479248046875
89888e39-a951-4507-a9c4-193aead90f64___FREC_Scab 3160.JPG,apple scab,0.3954485,0.014984130859375
a88d758c-0c4f-4214-b91d-e5645aa97113___FREC_Scab 3424.JPG,apple scab,0.24524745,0.01776123046875
75eca8b6-4446-4bf4-9d10-7d38ed44199a___FREC_Scab 3475.JPG,apple scab,0.30627257,0.0273590087890625
6a006aa9-a9f2-4269-9fd9-7a879f01faf1___FREC_Scab 3117.JPG,apple scab,0.24196386,0.00921630859375
d7bdef33-fa84-4240-a931-8a568d62cee7___FREC_Scab 2946.JPG,apple scab,0.24966283,0.0918731689453125
80894f41-f887-4d0c-8b09-0a7cd24fbe18___FREC_Scab 3526.JPG,apple scab,0.2347481,0.1259002685546875
